id;name;description;price;catalog_url;category_id;picture_url
23;Монитор AOC I2269Vwm;Габариты (мм): 498.3x379.4x189.2, Настенное крепление VESA: 75x75 мм, Поддержка MHL, Разъемы (дополнительно): Встроенные динамики, HDMI: 2 шт, Display Port, Подключение: VGA, Динамическая контрастность: 50 000 000:1, Статическая контрастность: 1 000:1, Яркость (кд/м2): 250, Угол обзора гор.: 178, Угол обзора верт.: 178 ;6818;…;6;http://magazilla.ru/jpg_zoom1/280182.jpg
24;Монитор AOC G2460PF;Габариты (мм): 565.4x393.6x244.58, Настенное крепление VESA: 100x100 мм, Flicker-Free, Поддержка AMD FreeSync, USB-хаб 2.0, Встроенные динамики, Регулировка высоты, Разъемы (дополнительно): Поворотный экран, HDMI: 1 шт, Display Port, DVI-D, Подключение: VGA, Динамическая контрастность: 80 000 000:1 ;17061;…;6;http://magazilla.ru/jpg_zoom1/781256.jpg
25;Монитор Samsung C24F390F;Габариты (мм): 547.8x418.2x206.5, Настенное крепление VESA: 75x75 мм, Flicker-Free, Разъемы (дополнительно): Поддержка AMD FreeSync, HDMI: 1 шт, Подключение: VGA, Статическая контрастность: 3 000:1, Яркость (кд/м2): 250, Угол обзора гор.: 178, Угол обзора верт.: 178, Тип матрицы: *VA, Время отклика (мс): 4 ;9095;…;6;http://magazilla.ru/jpg_zoom1/770743.jpg
26;Материнская плата Asus PRIME B350-PLUS;Питание процессора: 8-контактное, Основной разъем питания: 24-контактный, USB 3.1 (шт): 2, USB 3.0 (шт): 4, USB 2.0 (шт): 2, Поддержка CrossFire/SLI, Поддержка PCI Express 3.0, LAN: 1 Гбит/с, M.2 разъем: 1, SATA3: 6, Звук (каналов): 7.1, HDMI, Макс. объем памяти (Гб): 64, Частота ОЗУ (МГц): 3200, Форм-фактор слота для памяти: DIMM;6094;…;7;http://magazilla.ru/jpg_zoom1/1059840.jpg
27;Материнская плата Gigabyte Z370P D3;Питание процессора: 8-контактное, Основной разъем питания: 24-контактный, USB 3.1 (шт): 4, USB 2.0 (шт): 2, Поддержка CrossFire/SLI, Поддержка PCI Express 3.0, LAN: 1 Гбит/с, M.2 разъем: 1, SATA3: 6, Звук (каналов): 7.1, HDMI, Макс. объем памяти (Гб): 64, Частота ОЗУ (МГц): 4000, Форм-фактор слота для памяти: DIMM;7170;…;7;http://magazilla.ru/jpg_zoom1/1272090.jpg
28;Материнская плата ASRock H110M-DGS R3.0;Питание процессора: 8-контактное, Основной разъем питания: 24-контактный, USB 3.0 (шт): 2, USB 2.0 (шт): 4, Поддержка PCI Express 3.0, LAN: 1 Гбит/с, SATA3: 4, Звук (каналов): 7.1, Макс. объем памяти (Гб): 32, Частота ОЗУ (МГц): 2133, Форм-фактор слота для памяти: DIMM, DDR4 (слотов): 2, Северный мост: Intel H110;2847;…;7;http://magazilla.ru/jpg_zoom1/969923.jpg
29;Материнская плата Gigabyte GA-970A-DS3P;Питание процессора: 4-контактное, Основной разъем питания: 24-контактный, USB 3.0 (шт): 2, USB 2.0 (шт): 6, Поддержка CrossFire/SLI, LAN: 1 Гбит/с, SATA3: 6, Звук (каналов): 7.1, Макс. объем памяти (Гб): 32, Частота ОЗУ (МГц): 2000, Форм-фактор слота для памяти: DIMM, DDR3 (слотов): 4, Северный мост: AMD 970 ;4928;…;7;http://magazilla.ru/jpg_zoom1/403451.jpg
30;Материнская плата ASRock Z370 Pro4;Питание процессора: 8-контактное, Основной разъем питания: 24-контактный, USB type C, USB 3.1 (шт): 5, Поддержка CrossFire/SLI, Поддержка PCI Express 3.0, LAN: 1 Гбит/с, M.2 разъем: 3, SATA3: 6, Звук (каналов): 7.1, HDMI, Макс. объем памяти (Гб): 64, Частота ОЗУ (МГц): 4266, Форм-фактор слота для памяти: DIMM;7686;…;7;http://magazilla.ru/jpg_zoom1/1218070.jpg
31;Процессор AMD Ryzen 5 ;;10157;…;8;http://magazilla.ru/jpg_zoom1/1071892.jpg
32;Процессор Intel Core i5 Coffee Lake ;;12285;…;8;http://magazilla.ru/jpg_zoom1/1214424.jpg
33;Процессор AMD FX ;;5952;…;8;http://magazilla.ru/jpg_zoom1/160860.jpg
34;Процессор AMD Ryzen 3 ;;6422;…;8;http://magazilla.ru/jpg_zoom1/1166908.jpg
35;Процессор Intel Core i7 Coffee Lake ;;19687;…;8;http://magazilla.ru/jpg_zoom1/1214443.jpg
36;Видеокарта Gigabyte GeForce GTX 1050 Ti GV-N105TOC-4GD;Занимаемых слотов: 2, Потребляемая мощность (Вт): 75, Кол-во вентиляторов: 2 шт, Охлаждение: активное (кулер), Портов DisplayPort (шт): 1, Портов HDMI (шт): 1, DVI-D (шт): 1, Частота работы памяти (МГц): 7008, Частота работы GPU (МГц): 1341, Разрядность шины (бит): 128, Тип памяти: GDDR5, Объем памяти (ГБ): 4 ;15004;…;9;http://magazilla.ru/jpg_zoom1/949779.jpg
37;Видеокарта MSI GTX 1050 TI Gaming X 4G;Занимаемых слотов: 2, Дополнительное питание: 6 pin, Потребляемая мощность (Вт): 75, Кол-во вентиляторов: 2 шт, Охлаждение: активное (кулер), Портов DisplayPort (шт): 1, Портов HDMI (шт): 1, DVI-D (шт): 1, Частота работы памяти (МГц): 7108, Частота работы GPU (МГц): 1379, Разрядность шины (бит): 128 ;15189;…;9;http://magazilla.ru/jpg_zoom1/949313.jpg
38;Видеокарта Palit GeForce GTX 1060 NE51060015J9-1060D;Занимаемых слотов: 2, Дополнительное питание: 6 pin, Потребляемая мощность (Вт): 120, Кол-во вентиляторов: 2 шт, Охлаждение: активное (кулер), Портов DisplayPort (шт): 3, Портов HDMI (шт): 1, DVI-D (шт): 1, Частота работы памяти (МГц): 8000, Частота работы GPU (МГц): 1506, Разрядность шины (бит): 192 ;24260;…;9;http://magazilla.ru/jpg_zoom1/872419.jpg
39;Видеокарта Gigabyte GeForce GTX 1050 Ti GV-N105TWF2OC-4GD;Занимаемых слотов: 2, Дополнительное питание: 6 pin, Потребляемая мощность (Вт): 75, Кол-во вентиляторов: 2 шт, Охлаждение: активное (кулер), Портов DisplayPort (шт): 1, Портов HDMI (шт): 3, DVI-D (шт): 1, Частота работы памяти (МГц): 7008, Частота работы GPU (МГц): 1354, Разрядность шины (бит): 128;14504;…;9;http://magazilla.ru/jpg_zoom1/949761.jpg
40;Видеокарта Asus GeForce GTX 1050 Ti ROG STRIX-GTX1050TI-4G-GAMING;Занимаемых слотов: 2, Дополнительное питание: 6 pin, Потребляемая мощность (Вт): 75, Кол-во вентиляторов: 2 шт, Охлаждение: активное (кулер), Портов DisplayPort (шт): 1, Портов HDMI (шт): 1, DVI-D (шт): 2, Частота работы памяти (МГц): 7008, Частота работы GPU (МГц): 1290, Разрядность шины (бит): 128 ;15939;…;9;http://magazilla.ru/jpg_zoom1/958416.jpg
41;Оперативная память Kingston HyperX Fury DDR4 ;;3858;…;10;http://magazilla.ru/jpg_zoom1/558963.jpg
42;Оперативная память Crucial Ballistix Sport LT DDR4 ;;3432;…;10;http://magazilla.ru/jpg_zoom1/853629.jpg
43;Оперативная память Kingston HyperX Fury DDR3 ;;2585;…;10;http://magazilla.ru/jpg_zoom1/393963.jpg
44;Оперативная память Corsair Vengeance LPX DDR4 ;;4103;…;10;http://magazilla.ru/jpg_zoom1/561733.jpg
45;Оперативная память Samsung DDR4 ;;3487;…;10;http://magazilla.ru/jpg_zoom1/589636.jpg
46;Жесткий диск WD Blue ;;2377;…;11;http://magazilla.ru/jpg_zoom1/595803.jpg
47;Жесткий диск Seagate BarraCuda Compute ;;2310;…;11;http://magazilla.ru/jpg_zoom1/927508.jpg
